City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,marsa alam,25.0757,34.8918,24.65,41,76,2.92,EG,1684631355
226,kingscliff,-28.2667,153.5667,20.41,37,0,4.63,AU,1684631355
227,rio de janeiro,-22.9028,-43.2075,22.75,79,0,2.06,BR,1684631256
228,ripley,53.0333,-1.4,8.57,85,99,2.78,GB,1684631356
229,saldanha,-33.0117,17.9442,13.65,91,65,4.25,ZA,1684631356
230,pisco,-13.7,-76.2167,20.03,77,0,6.17,PE,1684631089
231,walla walla,46.0646,-118.343,34.31,34,0,3.09,US,1684631145
232,dawei,14.0833,98.2,28.62,77,100,1.67,MM,1684631356
233,mili,6.0815,171.735,28.65,79,99,6.17,MH,1684631356
234,redencao,-4.2258,-38.7306,23.8,90,52,0.98,BR,1684631356
235,khandyga,62.6667,135.6,2.28,96,100,3.39,RU,1684631356
236,itoman,26.1247,127.6694,25.22,73,75,1.03,JP,1684631356
237,ballina,-28.8667,153.5667,18.21,44,0,5.2,AU,1684631356
238,danielskuil,-28.1887,23.5395,6.84,33,0,2.24,ZA,1684631356
239,lebu,-37.6167,-73.65,10.89,90,100,9.1,CL,1684631356
240,mokopane,-24.1944,29.0097,12.08,86,0,0.66,ZA,1684631356
241,yorkton,51.2167,-102.4677,20.43,49,10,6.79,CA,1684631356
242,tchintabaraden,15.8969,5.7985,31.63,17,99,2.26,NE,1684631356
243,constantia,44.1833,28.65,13.38,70,25,6.13,RO,1684631357
244,dumai,1.6833,101.45,25.15,92,100,0.98,ID,1684631357
245,valle nacional,17.7833,-96.3167,24.76,95,100,1.0,MX,1684631357
246,betio village,1.358,172.9211,32.02,80,100,4.19,KI,1684631357
247,natal,-5.795,-35.2094,25.36,88,20,1.54,BR,1684631347
248,parsons,37.3403,-95.2611,19.16,74,75,2.58,US,1684631357
249,shyryayeve,47.3805,30.1964,13.35,84,7,5.98,UA,1684631357
250,weno,7.4515,151.8468,27.97,89,100,3.6,FM,1684631357
251,ormara,25.2088,64.6357,27.67,84,32,2.61,PK,1684631357
252,floro,61.5996,5.0328,9.04,93,20,2.06,NO,1684631357
253,longboat key,27.4125,-82.659,28.39,57,0,4.12,US,1684631286
254,umluj,25.0213,37.2685,23.95,52,0,2.37,SA,1684631357
255,tefe,-3.3542,-64.7114,24.63,97,100,1.16,BR,1684631357
256,madalena,41.2162,-8.3345,17.48,55,0,3.8,PT,1684631357
257,aqsay,51.1678,52.995,10.24,73,0,4.13,KZ,1684631357
258,kiunga,-6.1219,141.2906,26.33,79,100,1.23,PG,1684631357
259,carnarvon,-24.8667,113.6333,20.14,35,6,9.78,AU,1684631358
260,al ghayzah,16.2079,52.176,29.26,64,60,2.26,YE,1684631358
261,taltal,-25.4,-70.4833,16.53,81,0,2.33,CL,1684631358
262,yemetsk,63.4721,41.7941,7.14,67,0,1.06,RU,1684631358
263,tafuna,-14.3358,-170.72,30.97,84,40,5.14,AS,1684631358
264,fisterra,42.9049,-9.2629,13.75,80,1,9.9,ES,1684631358
265,oamaru,-45.0784,170.9801,11.32,69,40,3.91,NZ,1684631358
266,tazacorte,28.629,-17.9293,17.54,78,0,2.68,ES,1684631358
267,vila franca do campo,37.7167,-25.4333,17.23,82,45,5.29,PT,1684631358
268,margate,51.3813,1.3862,11.84,85,92,4.47,GB,1684631358
269,lazaro cardenas,17.9583,-102.2,29.37,70,70,3.39,MX,1684631358
270,afaahiti,-17.75,-149.2833,28.93,78,71,2.19,PF,1684631358
271,diego martin,10.7005,-61.5342,25.71,73,100,3.3,TT,1684631358
272,kamakhyanagar,20.9333,85.55,28.29,82,1,1.25,IN,1684631178
273,hobyo,5.3505,48.5268,27.7,84,41,6.58,SO,1684631359
274,lamu,-2.2717,40.902,27.12,88,100,4.53,KE,1684631359
275,male,4.1748,73.5089,28.97,84,20,3.09,MV,1684631359
276,mukalla,14.5425,49.1242,29.24,76,21,3.79,YE,1684631359
277,san matias,-16.3667,-58.4,23.21,66,4,1.89,BO,1684631359
278,sisimiut,66.9395,-53.6735,-2.24,80,99,1.56,GL,1684631359
279,arraial do cabo,-22.9661,-42.0278,21.78,83,0,4.64,BR,1684631343
280,luderitz,-26.6481,15.1594,13.83,48,0,6.2,NA,1684631359
281,lebedyn,50.5852,34.4849,7.41,87,2,3.92,UA,1684631359
282,ghat,24.9647,10.1728,22.42,21,0,3.62,LY,1684631359
283,meybod,32.2501,54.0166,25.19,28,100,3.57,IR,1684631359
284,jishui,33.7333,115.4,23.58,42,57,8.94,CN,1684631359
285,holualoa,19.6228,-155.9522,26.04,84,40,5.14,US,1684631335
286,dul'durga,50.6761,113.5931,13.53,48,8,4.73,RU,1684631360
287,college,64.8569,-147.8028,23.18,30,75,5.66,US,1684631360
288,isangel,-19.55,169.2667,24.66,70,100,5.35,VU,1684631267
289,vilyuchinsk,52.9306,158.4028,5.14,99,100,0.41,RU,1684631360
290,dabas,47.1859,19.3109,18.34,91,55,3.54,HU,1684631360
291,kruisfontein,-34.0033,24.7314,14.17,46,100,3.29,ZA,1684631360
292,choibalsan,48.0667,114.5,14.48,42,52,5.97,MN,1684631360
293,alesund,62.4723,6.1549,14.51,66,100,5.14,NO,1684631293
294,aasiaat,68.7098,-52.8699,-2.15,90,100,3.18,GL,1684631360
295,porbandar,21.6422,69.6093,27.52,80,9,4.77,IN,1684631360
296,east london,-33.0153,27.9116,15.16,41,100,3.1,ZA,1684631360
297,island harbour,50.724,-1.2758,11.66,72,0,1.79,GB,1684631360
